Name,Type,Level,Race,Attribute,ATK,DEF,Total
Catapult Turtle,Effect Monster,5.0,Aqua,WATER,1000.0,2000.0,
Evigishki Soul Ogre,Ritual Effect Monster,8.0,Aqua,WATER,2800.0,2800.0,
Cannonball Spear Shellfish,Effect Monster,2.0,Aqua,WATER,1000.0,1000.0,
Treeborn Frog,Effect Monster,1.0,Aqua,WATER,100.0,100.0,
The Tripper Mercury,Effect Monster,8.0,Aqua,WATER,2000.0,2000.0,
Barrier Statue of the Torrent,Effect Monster,4.0,Aqua,WATER,1000.0,1000.0,
Aquaactress Guppy,Effect Monster,2.0,Aqua,WATER,600.0,600.0,
Flying Penguin,Normal Monster,4.0,Aqua,WATER,1200.0,1000.0,
Evigishki Mind Augus,Ritual Effect Monster,6.0,Aqua,WATER,2500.0,2000.0,
Paleozoic Anomalocaris,XYZ Monster,2.0,Aqua,WATER,2400.0,0.0,
Koa'ki Meiru Hydro Barrier,Effect Monster,3.0,Aqua,WATER,1000.0,1900.0,
Revival Jam,Effect Monster,4.0,Aqua,WATER,1500.0,500.0,
Uminotaurus,Effect Monster,4.0,Aqua,WATER,1700.0,1000.0,
Substitoad,Effect Monster,1.0,Aqua,WATER,100.0,2000.0,
Mermail Abyssocea,Effect Monster,3.0,Aqua,WATER,1100.0,1900.0,
Amphibious Bugroth,Fusion Monster,5.0,Aqua,WATER,1850.0,1300.0,
Evigishki Gustkraken,Ritual Effect Monster,6.0,Aqua,WATER,2400.0,1000.0,
Gishki Marker,Effect Monster,4.0,Aqua,WATER,1600.0,1200.0,
Weather Report,Flip Effect Monster,4.0,Aqua,WATER,950.0,1500.0,
Humanoid Worm Drake,Fusion Monster,7.0,Aqua,WATER,2200.0,2000.0,
Starfish,Effect Monster,3.0,Aqua,WATER,300.0,300.0,
Slime Toad,Normal Monster,2.0,Aqua,WATER,700.0,500.0,
Gora Turtle of Illusion,Effect Monster,4.0,Aqua,WATER,1200.0,1400.0,
Sea Kamen,Normal Monster,4.0,Aqua,WATER,1100.0,1300.0,
Maryokutai,Effect Monster,3.0,Aqua,WATER,900.0,900.0,
Secret Guards of the Ice Barrier,Effect Monster,2.0,Aqua,WATER,100.0,1600.0,
Evigishki Levianima,Ritual Effect Monster,8.0,Aqua,WATER,2700.0,1500.0,
Warrior of Atlantis,Effect Monster,4.0,Aqua,WATER,1900.0,1200.0,
Hyosube,Normal Monster,4.0,Aqua,WATER,1500.0,900.0,
Poison Draw Frog,Effect Monster,2.0,Aqua,WATER,100.0,100.0,
Magical Reflect Slime,Gemini Monster,3.0,Aqua,WATER,700.0,1200.0,
Maiden of the Aqua,Effect Monster,4.0,Aqua,WATER,700.0,2000.0,
Graydle Slime Jr.,Tuner Monster,2.0,Aqua,WATER,0.0,2000.0,
Toon Mermaid,Toon Monster,4.0,Aqua,WATER,1400.0,1500.0,
Turtle Raccoon,Normal Monster,3.0,Aqua,WATER,700.0,900.0,
Gladiator Beast Retiari,Effect Monster,3.0,Aqua,WATER,1200.0,800.0,
Armored Starfish,Normal Monster,4.0,Aqua,WATER,850.0,1400.0,
"30,000-Year White Turtle",Normal Monster,5.0,Aqua,WATER,1250.0,2100.0,
Graydle Alligator,Effect Monster,3.0,Aqua,WATER,500.0,1500.0,
Ooguchi,Effect Monster,1.0,Aqua,WATER,300.0,250.0,
Turtle Tiger,Normal Monster,4.0,Aqua,WATER,1000.0,1500.0,
Yomi Ship,Effect Monster,3.0,Aqua,WATER,800.0,1400.0,
D.3.S. Frog,Fusion Monster,8.0,Aqua,WATER,2500.0,2000.0,
Monsturtle,Normal Monster,3.0,Aqua,WATER,800.0,1000.0,
Numen erat Testudo,Effect Monster,5.0,Aqua,WATER,1800.0,0.0,
Abyss Soldier,Effect Monster,4.0,Aqua,WATER,1800.0,1300.0,
The Furious Sea King,Normal Monster,3.0,Aqua,WATER,800.0,700.0,
Fiend Kraken,Normal Monster,4.0,Aqua,WATER,1200.0,1400.0,
Change Slime,Normal Monster,1.0,Aqua,WATER,400.0,300.0,
Beelze Frog,Effect Monster,3.0,Aqua,WATER,1200.0,800.0,
Roaring Ocean Snake,Fusion Monster,6.0,Aqua,WATER,2100.0,1800.0,
Waterdragon Fairy,Normal Monster,3.0,Aqua,WATER,1100.0,700.0,
Gishki Mollusk,Effect Monster,4.0,Aqua,WATER,1700.0,900.0,
Graydle Slime,Tuner Monster,5.0,Aqua,WATER,0.0,2000.0,
Water Omotics,Normal Monster,4.0,Aqua,WATER,1400.0,1200.0,
Giant Red Seasnake,Normal Monster,4.0,Aqua,WATER,1800.0,800.0,
Arma Knight,Normal Monster,4.0,Aqua,WATER,1000.0,1200.0,
Penguin Knight,Effect Monster,3.0,Aqua,WATER,900.0,800.0,
Paleozoic Anomalocaris,XYZ Monster,2.0,Aqua,WATER,2400.0,0.0,
Turu-Purun,Normal Monster,2.0,Aqua,WATER,450.0,500.0,
Prior of the Ice Barrier,Effect Monster,2.0,Aqua,WATER,1000.0,400.0,
Paleozoic Opabinia,XYZ Monster,2.0,Aqua,WATER,0.0,2400.0,
Deep Diver,Effect Monster,3.0,Aqua,WATER,1000.0,1100.0,
Unifrog,Effect Monster,2.0,Aqua,WATER,400.0,400.0,
Oppressed People,Normal Monster,1.0,Aqua,WATER,400.0,2000.0,
Water Spirit,Normal Tuner Monster,1.0,Aqua,WATER,400.0,1200.0,
Akihiron,Normal Monster,5.0,Aqua,WATER,1700.0,1400.0,
Gishki Zielgigas,Ritual Effect Monster,10.0,Aqua,WATER,3200.0,0.0,
Red Archery Girl,Normal Monster,4.0,Aqua,WATER,1400.0,1500.0,
Nopenguin,Effect Monster,3.0,Aqua,WATER,1600.0,100.0,
Performapal Guitartle,Pendulum Effect Monster,1.0,Aqua,WATER,300.0,400.0,
Mermail Abyssgunde,Effect Monster,3.0,Aqua,WATER,1400.0,800.0,
Testudo erat Numen,Effect Monster,1.0,Aqua,WATER,0.0,1800.0,
Genex Undine,Effect Monster,3.0,Aqua,WATER,1200.0,600.0,
Evigishki Tetrogre,Ritual Effect Monster,6.0,Aqua,WATER,2600.0,2100.0,
Mobius the Frost Monarch,Effect Monster,6.0,Aqua,WATER,2400.0,1000.0,
"Blizzed, Defender of the Ice Barrier",Effect Monster,1.0,Aqua,WATER,300.0,500.0,
Cold Enchanter,Effect Monster,4.0,Aqua,WATER,1600.0,1200.0,
Boulder Tortoise,Normal Monster,6.0,Aqua,WATER,1450.0,2200.0,
Aquaactress Tetra,Effect Monster,1.0,Aqua,WATER,300.0,300.0,
Aquarian Alessa,Gemini Monster,4.0,Aqua,WATER,1500.0,500.0,
Twin Long Rods 2,Normal Monster,3.0,Aqua,WATER,850.0,700.0,
Mermail Abyssteus,Effect Monster,7.0,Aqua,WATER,1700.0,2400.0,
Performapal Stamp Turtle,Effect Monster,4.0,Aqua,WATER,100.0,1800.0,
Octoberser,Normal Monster,5.0,Aqua,WATER,1600.0,1400.0,
Kappa Avenger,Normal Monster,3.0,Aqua,WATER,1200.0,900.0,
Mermail Abyssbalaen,Effect Monster,7.0,Aqua,WATER,2500.0,2000.0,
Turtle Bird,Normal Monster,6.0,Aqua,WATER,1900.0,1700.0,
Metallizing Parasite - Lunatite,Union Effect Monster,7.0,Aqua,WATER,1000.0,500.0,
Ice Water,Normal Monster,3.0,Aqua,WATER,1150.0,900.0,
Humanoid Slime,Normal Monster,4.0,Aqua,WATER,800.0,2000.0,
Mermail Abyssgaios,XYZ Monster,7.0,Aqua,WATER,2800.0,1600.0,
Mobius the Mega Monarch,Effect Monster,8.0,Aqua,WATER,2800.0,1000.0,
Hitodenchak,Normal Monster,2.0,Aqua,WATER,600.0,700.0,
Mermail Abysslinde,Effect Monster,3.0,Aqua,WATER,1500.0,1200.0,
Cryomancer of the Ice Barrier,Tuner Monster,2.0,Aqua,WATER,1300.0,0.0,
Swap Frog,Effect Monster,2.0,Aqua,WATER,1000.0,500.0,
Ronintoadin,Effect Monster,2.0,Aqua,WATER,100.0,2000.0,
Dupe Frog,Effect Monster,2.0,Aqua,WATER,100.0,2000.0,
Drill Barnacle,Effect Monster,3.0,Aqua,WATER,300.0,0.0,
Dorover,Normal Monster,3.0,Aqua,WATER,900.0,800.0,
Escher the Frost Vassal,Effect Monster,4.0,Aqua,WATER,800.0,1000.0,
Mermaid Knight,Effect Monster,4.0,Aqua,WATER,1500.0,700.0,
Mermail Abyssdine,Effect Monster,3.0,Aqua,WATER,1000.0,200.0,
Crystal Beast Emerald Tortoise,Effect Monster,3.0,Aqua,WATER,600.0,2000.0,
Yado Karu,Effect Monster,4.0,Aqua,WATER,900.0,1700.0,
Toad Master,Normal Monster,3.0,Aqua,WATER,1000.0,1000.0,
Star Boy,Effect Monster,2.0,Aqua,WATER,550.0,500.0,
Tribe-Infecting Virus,Effect Monster,4.0,Aqua,WATER,1600.0,1000.0,
Water Element,Normal Monster,3.0,Aqua,WATER,900.0,700.0,
Psychic Kappa,Normal Monster,2.0,Aqua,WATER,400.0,1000.0,
Aqua Spirit,Effect Monster,4.0,Aqua,WATER,1600.0,1200.0,
Submarine Frog,Effect Monster,2.0,Aqua,WATER,1200.0,600.0,
Graydle Eagle,Effect Monster,3.0,Aqua,WATER,1500.0,500.0,
Servant of Catabolism,Effect Monster,3.0,Aqua,LIGHT,700.0,500.0,
Lady of the Lake,Tuner Monster,1.0,Aqua,LIGHT,200.0,1800.0,
Unformed Void,XYZ Monster,4.0,Aqua,LIGHT,0.0,0.0,
Fire Kraken,Normal Monster,4.0,Aqua,FIRE,1600.0,1500.0,
ZW - Ultimate Shield,Effect Monster,4.0,Aqua,EARTH,0.0,2000.0,
Gem-Knight Aquamarine,Fusion Monster,6.0,Aqua,EARTH,1400.0,2600.0,
Gem-Knight Amethyst,Fusion Monster,7.0,Aqua,EARTH,1950.0,2450.0,
Gem-Knight Sapphire,Normal Monster,4.0,Aqua,EARTH,0.0,2100.0,
Gem-Knight Iolite,Gemini Monster,4.0,Aqua,EARTH,1300.0,2000.0,
Evilswarm Ketos,Effect Monster,4.0,Aqua,DARK,1750.0,1050.0,
Mucus Yolk,Effect Monster,3.0,Aqua,DARK,0.0,100.0,
Steam Token,Token,,Aqua,,,,
Slime Monster Token,Token,,Aqua,,,,
Ice Coffin Token,Token,,Aqua,,,,
Crystal Beast Sapphire Pegasus,Effect Monster,4.0,Beast,WIND,1800.0,1200.0,
Dynatherium,Effect Monster,4.0,Beast,WIND,1600.0,600.0,
The All-Seeing White Tiger,Normal Monster,3.0,Beast,WIND,1300.0,500.0,
Performapal Inflater Tapir,Effect Monster,6.0,Beast,WIND,1000.0,2000.0,
Yosenju Oyam,Effect Monster,6.0,Beast,WIND,0.0,0.0,
Yosenju Magat,Effect Monster,6.0,Beast,WIND,2000.0,100.0,
Yosenju Misak,Effect Monster,6.0,Beast,WIND,2300.0,200.0,
Chimera the Flying Mythical Beast,Fusion Monster,6.0,Beast,WIND,2100.0,1800.0,
Chemicritter Oxy Ox,Gemini Monster,2.0,Beast,WIND,0.0,2100.0,
Fenrir,Effect Monster,4.0,Beast,WATER,1400.0,1200.0,
Gishki Beast,Effect Monster,4.0,Beast,WATER,1500.0,1300.0,
Performapal Splashmammoth,Pendulum Effect Monster,6.0,Beast,WATER,1900.0,2300.0,
Performapal Rain Goat,Effect Monster,1.0,Beast,WATER,0.0,0.0,
Tree Otter,Effect Monster,2.0,Beast,WATER,1200.0,100.0,
"Dewloren, Tiger King of the Ice Barrier",Synchro Monster,6.0,Beast,WATER,2000.0,1400.0,
SZW - Fenrir Sword,Effect Monster,4.0,Beast,LIGHT,1800.0,1100.0,
Ojama Green,Normal Monster,2.0,Beast,LIGHT,0.0,1000.0,
Outstanding Dog Marron,Effect Monster,1.0,Beast,LIGHT,100.0,100.0,
Uni-Horned Familiar,Tuner Monster,2.0,Beast,LIGHT,0.0,1000.0,
"Ryko, Lightsworn Hunter",Flip Effect Monster,2.0,Beast,LIGHT,200.0,100.0,
The Fabled Kokkator,Effect Monster,4.0,Beast,LIGHT,1700.0,1500.0,
Voltic Bicorn,Synchro Monster,7.0,Beast,LIGHT,2500.0,2000.0,
Andro Sphinx,Effect Monster,10.0,Beast,LIGHT,3000.0,2500.0,
Bujingi Wolf,Effect Monster,4.0,Beast,LIGHT,1100.0,2000.0,
Ojama Red,Effect Monster,2.0,Beast,LIGHT,0.0,1000.0,
Bujingi Fox,Effect Monster,4.0,Beast,LIGHT,200.0,2100.0,
The Fabled Ganashia,Effect Monster,3.0,Beast,LIGHT,1600.0,1000.0,
Constellar Leonis,Effect Monster,3.0,Beast,LIGHT,1000.0,1800.0,
Sunlight Unicorn,Effect Monster,4.0,Beast,LIGHT,1800.0,1000.0,
Regulus,Effect Monster,4.0,Beast,LIGHT,1700.0,1000.0,
ZW - Sleipnir Mail,Effect Monster,4.0,Beast,LIGHT,1000.0,1000.0,
ZW - Unicorn Spear,Effect Monster,4.0,Beast,LIGHT,1900.0,0.0,
Bujingi Hare,Effect Monster,4.0,Beast,LIGHT,1700.0,500.0,
Bujingi Centipede,Effect Monster,4.0,Beast,LIGHT,1700.0,500.0,
ZW - Leo Arms,XYZ Monster,5.0,Beast,LIGHT,3000.0,1200.0,
Performapal Gold Fang,Pendulum Effect Monster,4.0,Beast,LIGHT,1800.0,700.0,
Bujingi Quilin,Effect Monster,4.0,Beast,LIGHT,1600.0,900.0,
Bujingi Sinyou,Effect Monster,4.0,Beast,LIGHT,1500.0,1000.0,
Ojama Blue,Effect Monster,2.0,Beast,LIGHT,0.0,1000.0,
The Fabled Chawa,Tuner Monster,1.0,Beast,LIGHT,200.0,100.0,
Photon Cerberus,Effect Monster,3.0,Beast,LIGHT,1300.0,600.0,
Voltic Kong,Effect Monster,4.0,Beast,LIGHT,1800.0,1000.0,
Ojama Black,Normal Monster,2.0,Beast,LIGHT,0.0,1000.0,
Monoceros,Effect Monster,3.0,Beast,LIGHT,1000.0,1000.0,
Thunder Unicorn,Synchro Monster,5.0,Beast,LIGHT,2200.0,1800.0,
Ojama Yellow,Normal Monster,2.0,Beast,LIGHT,0.0,1000.0,
Bujingi Turtle,Effect Monster,4.0,Beast,LIGHT,1700.0,1200.0,
Gladiator Beast Alexander,Effect Monster,6.0,Beast,LIGHT,2400.0,600.0,
The Fabled Unicore,Synchro Monster,4.0,Beast,LIGHT,2300.0,1000.0,
Heraldic Beast Unicorn,Effect Monster,4.0,Beast,LIGHT,1100.0,1600.0,
ZW - Lightning Blade,Effect Monster,5.0,Beast,LIGHT,1200.0,2000.0,
Bujingi Boar,Effect Monster,4.0,Beast,LIGHT,1100.0,1900.0,
Guldfaxe of the Nordic Beasts,Tuner Monster,4.0,Beast,LIGHT,1600.0,1000.0,
Lightning Tricorn,Synchro Monster,8.0,Beast,LIGHT,2800.0,2000.0,
Photon Leo,Effect Monster,6.0,Beast,LIGHT,2100.0,1100.0,
Ojama Knight,Fusion Monster,5.0,Beast,LIGHT,0.0,2500.0,
"Rinyan, Lightsworn Rogue",Flip Effect Monster,2.0,Beast,LIGHT,100.0,100.0,
Buster Gundil the Cubic Behemoth,Effect Monster,4.0,Beast,LIGHT,0.0,0.0,
The Fabled Catsith,Tuner Monster,1.0,Beast,LIGHT,800.0,600.0,
The Fabled Nozoochee,Effect Monster,2.0,Beast,LIGHT,1200.0,800.0,
Sphinx Teleia,Effect Monster,10.0,Beast,LIGHT,2500.0,3000.0,
Ancient Crimson Ape,Effect Monster,7.0,Beast,LIGHT,2600.0,1800.0,
Performapal Fire Mufflerlion,Pendulum Effect Monster,3.0,Beast,FIRE,800.0,800.0,
Firewing Pegasus,Normal Monster,6.0,Beast,FIRE,2250.0,1800.0,
Little Chimera,Effect Monster,2.0,Beast,FIRE,600.0,550.0,
Flame Tiger,Effect Monster,4.0,Beast,FIRE,1800.0,0.0,
Hazy Flame Cerbereus,Effect Monster,6.0,Beast,FIRE,2000.0,200.0,
Great Angus,Normal Monster,4.0,Beast,FIRE,1800.0,600.0,
Flamvell Firedog,Effect Monster,4.0,Beast,FIRE,1900.0,200.0,
Crystal Beast Amethyst Cat,Effect Monster,3.0,Beast,EARTH,1200.0,400.0,
"Uniflora, Mystical Beast of the Forest",Effect Monster,1.0,Beast,EARTH,700.0,500.0,
Hane-Hane,Flip Effect Monster,2.0,Beast,EARTH,450.0,500.0,
Snyffus,Tuner Monster,1.0,Beast,EARTH,100.0,100.0,
Mon Larvas,Normal Monster,4.0,Beast,EARTH,1300.0,1400.0,
Koalo-Koala,Fusion Monster,6.0,Beast,EARTH,2800.0,200.0,
Thousand Needles,Effect Monster,4.0,Beast,EARTH,1000.0,1800.0,
Super War-Lion,Ritual Monster,7.0,Beast,EARTH,2300.0,2100.0,
Togex,Normal Monster,5.0,Beast,EARTH,1600.0,1800.0,
Milus Radiant,Effect Monster,1.0,Beast,EARTH,300.0,250.0,
Naturia Beast,Synchro Monster,5.0,Beast,EARTH,2200.0,1700.0,
"Valerifawn, Mystical Beast of the Forest",Tuner Monster,2.0,Beast,EARTH,400.0,900.0,
Wind-Up Dog,Effect Monster,3.0,Beast,EARTH,1200.0,900.0,
The Trojan Horse,Effect Monster,4.0,Beast,EARTH,1600.0,1200.0,
Tanngrisnir of the Nordic Beasts,Effect Monster,3.0,Beast,EARTH,1200.0,800.0,
Leogun,Normal Monster,5.0,Beast,EARTH,1750.0,1550.0,
Rescue Cat,Effect Monster,4.0,Beast,EARTH,300.0,100.0,
Tanngnjostr of the Nordic Beasts,Effect Monster,3.0,Beast,EARTH,800.0,1100.0,
Ancient One of the Deep Forest,Normal Monster,6.0,Beast,EARTH,1800.0,1900.0,
Rodenut,Effect Monster,1.0,Beast,EARTH,100.0,100.0,
Desertapir,Flip Effect Monster,3.0,Beast,EARTH,900.0,300.0,
Madolche Mewfeuille,Effect Monster,3.0,Beast,EARTH,500.0,300.0,
Amazoness Tiger,Effect Monster,4.0,Beast,EARTH,1100.0,1500.0,
T.G. Rush Rhino,Effect Monster,4.0,Beast,EARTH,1600.0,800.0,
Performapal Bubblebowwow,Pendulum Effect Monster,6.0,Beast,EARTH,2300.0,1000.0,
Three Thousand Needles,Effect Monster,8.0,Beast,EARTH,3000.0,1800.0,
XX-Saber Darksoul,Effect Monster,3.0,Beast,EARTH,100.0,100.0,
Big-Tusked Mammoth,Effect Monster,5.0,Beast,EARTH,2000.0,1000.0,
Bunilla,Normal Monster,1.0,Beast,EARTH,150.0,2050.0,
Test Ape,Effect Monster,2.0,Beast,EARTH,700.0,300.0,
Performapal Camelump,Pendulum Effect Monster,4.0,Beast,EARTH,800.0,1800.0,
Dark Gray,Normal Monster,3.0,Beast,EARTH,800.0,900.0,
Mystical Sheep 1,Effect Monster,3.0,Beast,EARTH,1150.0,900.0,
Dig Beak,Normal Monster,2.0,Beast,EARTH,500.0,800.0,
Performapal Gumgumouton,Pendulum Effect Monster,5.0,Beast,EARTH,900.0,2400.0,
Hade-Hane,Flip Effect Monster,5.0,Beast,EARTH,900.0,1000.0,
Wrecker Panda,Effect Monster,2.0,Beast,EARTH,800.0,800.0,
Baby Raccoon Tantan,Flip Effect Monster,2.0,Beast,EARTH,0.0,800.0,
Mosaic Manticore,Effect Monster,8.0,Beast,EARTH,2800.0,2500.0,
Chu-Ske the Mouse Fighter,Normal Monster,3.0,Beast,EARTH,1200.0,0.0,
Yokotuner,Tuner Monster,1.0,Beast,EARTH,800.0,600.0,
"Leo, the Keeper of the Sacred Tree",Synchro Monster,10.0,Beast,EARTH,3100.0,1900.0,
Master of Oz,Fusion Monster,9.0,Beast,EARTH,4200.0,3700.0,
Dark Cat with White Tail,Flip Effect Monster,2.0,Beast,EARTH,800.0,500.0,
Madolche Chickolates,Effect Monster,3.0,Beast,EARTH,800.0,1500.0,
Wind-Up Kitten,Effect Monster,2.0,Beast,EARTH,800.0,500.0,
Performapal Gongato,Pendulum Effect Monster,1.0,Beast,EARTH,100.0,100.0,
Gladiator Beast Dimacari,Effect Monster,4.0,Beast,EARTH,1600.0,1200.0,
Neko Mane King,Effect Monster,1.0,Beast,EARTH,0.0,0.0,
Soul Tiger,Normal Monster,4.0,Beast,EARTH,0.0,2100.0,
Madolche Hootcake,Effect Monster,3.0,Beast,EARTH,1500.0,1100.0,
Dark Garnex the Cubic Beast,Effect Monster,2.0,Beast,EARTH,0.0,0.0,
Creepy Coney,Flip Effect Monster,3.0,Beast,EARTH,1000.0,1900.0,
Great Bill,Normal Monster,4.0,Beast,EARTH,1250.0,1300.0,
Lisark,Normal Monster,4.0,Beast,EARTH,1300.0,1300.0,
Meotoko,Normal Monster,2.0,Beast,EARTH,700.0,600.0,
Griffore,Normal Monster,4.0,Beast,EARTH,1200.0,1500.0,
Lock Cat,Effect Monster,3.0,Beast,EARTH,1200.0,1000.0,
Gladiator Beast Tygerius,Effect Monster,4.0,Beast,EARTH,1800.0,800.0,
Rescue Hamster,Pendulum Effect Monster,4.0,Beast,EARTH,300.0,100.0,
Wolf,Normal Monster,3.0,Beast,EARTH,1200.0,800.0,
Madolche Baaple,Effect Monster,3.0,Beast,EARTH,0.0,1800.0,
Sleeping Lion,Normal Monster,4.0,Beast,EARTH,700.0,1700.0,
Performapal Secondonkey,Effect Monster,4.0,Beast,EARTH,1000.0,2000.0,
Berserk Gorilla,Effect Monster,4.0,Beast,EARTH,2000.0,1000.0,
Bubonic Vermin,Flip Effect Monster,3.0,Beast,EARTH,900.0,600.0,
Burglar,Normal Monster,3.0,Beast,EARTH,850.0,800.0,
The Wicked Worm Beast,Effect Monster,3.0,Beast,EARTH,1400.0,700.0,
Bazoo the Soul-Eater,Effect Monster,4.0,Beast,EARTH,1600.0,900.0,
D.D. Crazy Beast,Effect Monster,3.0,Beast,EARTH,1400.0,1400.0,
Performapal Hip Hippo,Effect Monster,3.0,Beast,EARTH,800.0,800.0,
Big Koala,Normal Monster,7.0,Beast,EARTH,2700.0,2000.0,
Gazelle the King of Mythical Beasts,Normal Monster,4.0,Beast,EARTH,1500.0,1200.0,
Armored Rat,Normal Monster,3.0,Beast,EARTH,950.0,1100.0,
Behemoth the King of All Animals,Effect Monster,7.0,Beast,EARTH,2700.0,1500.0,
Hyena,Effect Monster,3.0,Beast,EARTH,1000.0,300.0,
Zeman the Ape King,Synchro Monster,7.0,Beast,EARTH,2500.0,1800.0,
Nimble Momonga,Effect Monster,2.0,Beast,EARTH,1000.0,100.0,
Des Wombat,Effect Monster,3.0,Beast,EARTH,1600.0,300.0,
Beast Striker,Effect Monster,4.0,Beast,EARTH,1850.0,400.0,
Pale Beast,Normal Monster,4.0,Beast,EARTH,1500.0,1200.0,
Gyaku-Gire Panda,Effect Monster,3.0,Beast,EARTH,800.0,1600.0,
Mogmole,Effect Monster,2.0,Beast,EARTH,800.0,800.0,
Naturia Leodrake,Synchro Monster,9.0,Beast,EARTH,3000.0,1800.0,
Performapal Momoncarpet,Pendulum Flip Effect Monster,3.0,Beast,EARTH,1000.0,100.0,
Scrap Beast,Tuner Monster,4.0,Beast,EARTH,1600.0,1300.0,
Performapal Cheermole,Pendulum Effect Monster,2.0,Beast,EARTH,600.0,1000.0,
Performapal Monkeyboard,Pendulum Effect Monster,6.0,Beast,EARTH,1000.0,2400.0,
Explossum,Effect Monster,1.0,Beast,EARTH,100.0,100.0,
Gallis the Star Beast,Effect Monster,3.0,Beast,EARTH,800.0,800.0,
Performapal Trampolynx,Pendulum Effect Monster,2.0,Beast,EARTH,300.0,300.0,
Tatsunootoshigo,Normal Monster,5.0,Beast,EARTH,1350.0,1600.0,
Super-Nimble Mega Hamster,Flip Effect Monster,4.0,Beast,EARTH,1100.0,1800.0,
"Green Baboon, Defender of the Forest",Effect Monster,7.0,Beast,EARTH,2600.0,1800.0,
King of the Beasts,Effect Monster,7.0,Beast,EARTH,2500.0,800.0,
Blade Rabbit,Effect Monster,2.0,Beast,EARTH,400.0,300.0,
Scrap Orthros,Tuner Monster,4.0,Beast,EARTH,1700.0,1100.0,
Prevent Rat,Normal Monster,4.0,Beast,EARTH,500.0,2000.0,
Performapal Drummerilla,Pendulum Effect Monster,5.0,Beast,EARTH,1600.0,900.0,
Fusionist,Fusion Monster,3.0,Beast,EARTH,900.0,700.0,
Heraldic Beast Basilisk,Effect Monster,4.0,Beast,EARTH,1000.0,1400.0,
Nekogal 1,Normal Monster,3.0,Beast,EARTH,1100.0,900.0,
Two Thousand Needles,Effect Monster,5.0,Beast,EARTH,2000.0,1800.0,
Inaba White Rabbit,Spirit Monster,3.0,Beast,EARTH,700.0,500.0,
Guard Dog,Flip Effect Monster,3.0,Beast,EARTH,1500.0,500.0,
Gladiator Beast Samnite,Effect Monster,3.0,Beast,EARTH,1600.0,1200.0,
Archfiend Marmot of Nefariousness,Normal Monster,2.0,Beast,EARTH,400.0,600.0,
Master  Expert,Normal Monster,4.0,Beast,EARTH,1200.0,1000.0,
Mystic Horseman,Normal Monster,4.0,Beast,EARTH,1300.0,1550.0,
Performapal Changeraffe,Pendulum Effect Monster,1.0,Beast,EARTH,100.0,500.0,
Gladiator Beast Essedarii,Fusion Monster,5.0,Beast,EARTH,2500.0,1400.0,
Nefarious Archfiend Eater of Nefariousness,Effect Monster,4.0,Beast,EARTH,1500.0,200.0,
Performapal Elephammer,Effect Monster,6.0,Beast,EARTH,2600.0,1800.0,
Synchar,Normal Monster,3.0,Beast,EARTH,800.0,900.0,
Vampire Koala,Effect Monster,4.0,Beast,EARTH,1800.0,1500.0,
