id,gender,race/ethnicity,parental level of education,lunch,test preparation course
70,female,group C,associate's degree,standard,none
71,female,group D,some college,free/reduced,completed
72,male,group D,some college,standard,completed
73,female,group A,associate's degree,free/reduced,none
74,male,group C,some high school,free/reduced,none
75,male,group C,some high school,standard,none
76,male,group B,associate's degree,free/reduced,none
77,male,group E,some high school,standard,none
78,male,group A,bachelor's degree,standard,completed
79,female,group D,some high school,standard,completed
80,female,group E,master's degree,standard,none
81,female,group B,associate's degree,standard,none
82,male,group B,high school,free/reduced,none
83,male,group A,some college,free/reduced,completed
84,male,group E,associate's degree,standard,none
85,male,group D,high school,free/reduced,none
86,female,group C,some college,standard,none
87,female,group C,some college,free/reduced,none
88,female,group D,associate's degree,standard,none
89,female,group A,some college,standard,none
90,female,group D,some high school,standard,none
91,female,group C,bachelor's degree,standard,none
92,male,group C,high school,free/reduced,none
93,male,group C,high school,standard,none
94,male,group C,associate's degree,free/reduced,completed
95,female,group B,some college,standard,none
96,male,group C,associate's degree,free/reduced,completed
97,male,group B,some high school,standard,completed
98,female,group E,some college,standard,completed
99,female,group D,some college,free/reduced,none
100,female,group D,bachelor's degree,standard,none
101,male,group B,some college,standard,none
102,male,group D,bachelor's degree,standard,completed
103,female,group D,associate's degree,standard,none
104,male,group B,high school,standard,completed
105,male,group C,some college,standard,completed
106,female,,,,
107,female,group D,master's degree,standard,none
108,male,group E,associate's degree,standard,completed
109,female,group B,associate's degree,free/reduced,none
110,female,group B,some high school,standard,none
111,female,group D,associate's degree,free/reduced,completed
112,male,group C,high school,standard,none
113,male,group A,associate's degree,standard,none
114,female,group D,some college,standard,none
115,female,group E,bachelor's degree,standard,completed
116,male,group C,high school,standard,none
117,female,group B,bachelor's degree,free/reduced,none
118,female,group D,bachelor's degree,standard,none
119,female,group D,some high school,standard,none
120,female,group C,some college,standard,none
121,female,group C,bachelor's degree,standard,completed
122,male,group B,associate's degree,standard,completed
123,female,group C,some college,standard,completed
124,male,group D,high school,free/reduced,none
125,male,group E,some college,standard,none
126,female,group B,high school,standard,none
127,male,group B,some high school,standard,none
128,male,group D,some college,standard,completed
129,male,group D,master's degree,standard,none
130,female,group A,bachelor's degree,standard,none
131,male,group D,master's degree,standard,none
132,male,group C,some high school,free/reduced,completed
133,male,group E,some college,free/reduced,completed
134,female,group C,some college,standard,completed
135,male,group D,bachelor's degree,free/reduced,completed
136,male,group C,bachelor's degree,standard,none
137,male,group B,some high school,standard,completed
138,male,group E,high school,standard,none
139,female,group C,associate's degree,standard,none
140,male,group D,some college,standard,completed
141,female,group D,some high school,standard,none
142,female,group C,some college,free/reduced,none
143,female,group E,some college,free/reduced,completed
144,male,group A,high school,standard,none
145,male,group D,some college,standard,none
146,female,group C,some college,free/reduced,none
147,male,group B,some high school,standard,none
148,male,,,free/reduced,
149,female,group D,bachelor's degree,standard,completed
150,male,group E,associate's degree,free/reduced,completed
151,male,group A,some high school,standard,completed
152,male,group A,bachelor's degree,standard,none
153,female,group B,associate's degree,standard,completed
154,male,group D,bachelor's degree,standard,none
155,male,group D,some high school,standard,none
156,female,group C,some college,standard,completed
157,female,group E,high school,free/reduced,completed
158,male,group B,some college,free/reduced,none
159,female,group B,associate's degree,standard,completed
160,male,group D,associate's degree,free/reduced,none
161,male,group B,associate's degree,free/reduced,completed
162,female,group E,some college,free/reduced,completed
163,male,group B,master's degree,free/reduced,none
164,male,group C,high school,standard,none
165,female,group E,master's degree,standard,none
166,female,group C,bachelor's degree,standard,completed
167,male,group C,high school,free/reduced,completed
168,female,group B,master's degree,free/reduced,completed
169,female,group B,high school,standard,completed
170,female,group C,some college,free/reduced,completed
171,male,group A,high school,standard,completed
172,male,group E,some high school,standard,none
173,,,,standard,none
174,female,group C,associate's degree,standard,none
175,female,group C,bachelor's degree,free/reduced,completed
176,female,group C,master's degree,standard,completed
177,female,group B,high school,free/reduced,completed
178,female,group C,associate's degree,standard,completed
179,female,group B,master's degree,free/reduced,completed
180,female,group D,some high school,standard,completed
181,male,group C,master's degree,free/reduced,completed
182,female,group C,some college,free/reduced,none
183,female,group E,high school,standard,none
184,female,group D,associate's degree,standard,none
185,male,group C,some high school,free/reduced,completed
186,male,group C,associate's degree,free/reduced,completed
187,male,group E,high school,standard,none
188,male,group D,some high school,standard,completed
189,male,group B,some high school,free/reduced,none
190,female,group C,bachelor's degree,standard,none
191,female,group E,associate's degree,standard,none
192,male,group D,some college,standard,completed
193,female,group B,some high school,standard,none
194,male,group D,some college,standard,completed
195,female,group C,master's degree,standard,completed
196,male,group D,associate's degree,standard,none
197,male,group C,some high school,free/reduced,completed
198,male,group E,high school,free/reduced,none
199,female,group B,some college,free/reduced,none
200,female,group B,bachelor's degree,free/reduced,none
201,female,group C,associate's degree,standard,completed
202,female,group D,some college,free/reduced,none
203,male,group C,associate's degree,standard,none
204,female,group B,associate's degree,standard,none
205,male,group C,some college,standard,none
206,male,group D,some high school,standard,completed
207,male,group E,bachelor's degree,standard,none
208,male,group E,high school,standard,completed
209,female,group B,some college,free/reduced,none
210,female,group B,some college,free/reduced,none
211,male,group D,some high school,free/reduced,completed
212,male,group C,some college,free/reduced,none
213,female,group C,high school,free/reduced,none
214,male,group C,associate's degree,free/reduced,completed
215,male,group E,high school,standard,completed
216,male,group B,some high school,standard,completed
217,female,group E,associate's degree,free/reduced,completed
218,female,group C,high school,free/reduced,none
219,male,group B,high school,free/reduced,none
220,male,group B,some high school,standard,completed
221,female,group D,high school,standard,completed
222,male,group B,associate's degree,standard,none
223,female,group C,some high school,free/reduced,none
224,male,group D,some high school,standard,none
225,female,group B,associate's degree,standard,completed
226,female,group E,master's degree,free/reduced,none
227,female,group C,some college,standard,none
228,male,group D,high school,standard,none
229,male,group A,some high school,free/reduced,none
230,female,group C,some college,standard,completed
231,male,group D,some college,standard,none
232,male,group C,associate's degree,standard,none
233,female,group B,bachelor's degree,standard,none
234,male,group E,some high school,standard,none
235,male,group C,bachelor's degree,standard,completed
236,male,group D,associate's degree,standard,none
237,male,group D,bachelor's degree,free/reduced,none
238,female,group D,some high school,standard,completed
239,male,group B,some college,standard,none
240,male,group C,associate's degree,standard,none
241,male,group D,high school,free/reduced,completed
242,female,group E,bachelor's degree,standard,none
243,female,group D,high school,standard,none
244,male,group E,some college,standard,none
245,male,group D,some high school,standard,none
246,male,group C,associate's degree,standard,none
247,male,group E,associate's degree,standard,none
248,female,group B,high school,standard,completed
249,female,group B,high school,standard,none
250,male,group C,high school,standard,none
251,male,group A,some high school,standard,completed
252,female,group D,some college,free/reduced,none
253,female,group B,some high school,standard,completed
254,male,group D,master's degree,standard,none
255,male,group D,high school,standard,none
256,female,group E,some college,standard,none
257,female,group C,associate's degree,free/reduced,none
258,male,group C,associate's degree,standard,completed
259,female,group B,some college,standard,none
260,female,group C,master's degree,free/reduced,completed
261,female,group C,some high school,free/reduced,completed
262,male,group C,some college,standard,completed
263,female,group C,some high school,free/reduced,none
264,female,group E,high school,standard,none
265,male,group D,high school,standard,none
266,male,group D,some high school,free/reduced,none
267,female,group C,bachelor's degree,standard,none
268,female,group D,high school,standard,none
269,female,group D,associate's degree,standard,completed
270,female,group E,some college,free/reduced,none
271,male,group C,bachelor's degree,standard,none
272,male,group C,some college,standard,none
273,female,group D,associate's degree,free/reduced,none
274,female,group D,some college,standard,none
275,male,group B,some college,standard,completed
276,male,group C,bachelor's degree,standard,none
277,female,group C,some high school,standard,completed
278,female,group E,high school,standard,completed
279,female,group C,some high school,free/reduced,none
280,male,group B,bachelor's degree,free/reduced,none
281,male,group D,high school,standard,none
282,male,group D,high school,standard,none
283,female,group D,bachelor's degree,free/reduced,none
284,female,group D,some college,free/reduced,completed
285,female,group B,some high school,standard,none
286,male,group B,associate's degree,standard,completed
287,male,group E,associate's degree,standard,completed
288,female,group B,some high school,standard,none
289,male,group B,bachelor's degree,free/reduced,none
290,male,group E,some high school,standard,completed
291,male,group C,associate's degree,standard,none
292,male,group D,some high school,standard,none
293,male,group C,some high school,standard,completed
294,female,group E,bachelor's degree,standard,none
295,male,group D,high school,free/reduced,completed
296,male,group B,associate's degree,free/reduced,none
297,male,group A,some high school,standard,completed
298,male,group E,associate's degree,standard,completed
299,male,group C,high school,free/reduced,completed
300,male,group D,associate's degree,free/reduced,none
301,male,group A,some college,free/reduced,completed
302,male,group D,some high school,free/reduced,none
303,female,group C,associate's degree,standard,completed
304,male,group B,associate's degree,standard,none
305,female,group C,associate's degree,standard,completed
306,male,group A,some college,standard,none
307,male,group E,some college,standard,completed
308,male,group C,some high school,standard,none
309,female,group B,associate's degree,free/reduced,none
310,female,group D,high school,free/reduced,none
311,female,group B,associate's degree,standard,none
312,male,group B,bachelor's degree,standard,none
313,male,group D,bachelor's degree,standard,completed
314,female,group C,associate's degree,free/reduced,completed
315,female,group C,bachelor's degree,standard,completed
316,male,group C,high school,standard,none
317,female,group D,master's degree,standard,completed
318,male,group C,associate's degree,standard,none
319,male,group B,bachelor's degree,standard,none
320,female,group D,associate's degree,free/reduced,none
321,female,group C,high school,free/reduced,completed
322,female,group E,high school,standard,none
323,female,group C,some college,standard,none
324,female,group C,some high school,free/reduced,none
325,female,group C,high school,free/reduced,none
326,female,group C,some college,standard,none
327,male,group C,some college,standard,none
328,male,group A,some college,free/reduced,none
329,male,group C,associate's degree,standard,completed
330,female,group B,some high school,standard,none
331,male,group C,high school,standard,none
332,male,group C,associate's degree,standard,none
333,male,group E,associate's degree,standard,completed
334,male,group B,associate's degree,standard,none
335,female,group C,bachelor's degree,standard,none
336,female,group B,some college,free/reduced,none
337,male,group D,some high school,standard,completed
338,male,group C,associate's degree,standard,none
339,female,group B,some high school,free/reduced,none
340,female,group D,some high school,free/reduced,completed
341,male,group C,high school,free/reduced,none
342,female,group C,high school,standard,none
343,female,group B,high school,standard,completed
344,male,group D,associate's degree,standard,completed
345,male,group D,some college,standard,none
346,female,group C,high school,standard,none
347,male,group B,some college,standard,none
348,female,group C,bachelor's degree,standard,completed
349,male,group D,high school,free/reduced,none
350,male,group E,associate's degree,standard,none
351,female,group B,bachelor's degree,standard,none
352,male,group E,some college,standard,none
353,female,group C,some college,standard,completed
354,female,group C,associate's degree,standard,none
355,female,group C,some college,standard,none
356,female,group B,bachelor's degree,standard,none
357,male,group A,associate's degree,standard,none
358,female,group C,some college,free/reduced,completed
359,male,group D,some college,free/reduced,none
360,female,group D,some college,standard,none
361,female,group B,high school,standard,none
362,male,group B,some high school,standard,completed
363,female,group C,some college,standard,none
364,female,group D,some high school,free/reduced,none
365,male,group C,some college,standard,none
366,male,group A,bachelor's degree,free/reduced,completed
367,male,group C,high school,standard,completed
368,male,group C,bachelor's degree,free/reduced,none
369,female,group A,some high school,free/reduced,none
370,female,group D,some high school,standard,none
371,male,group E,some college,standard,none
372,female,group C,some college,free/reduced,completed
373,male,group D,some high school,standard,none
374,female,group D,some college,standard,completed
375,female,group D,bachelor's degree,standard,none
376,male,group E,associate's degree,free/reduced,none
377,female,group D,some high school,standard,none
378,female,group D,master's degree,free/reduced,completed
379,female,group A,some high school,standard,none
380,male,group A,bachelor's degree,standard,none
381,female,group B,associate's degree,standard,none
382,male,group C,associate's degree,standard,completed
383,male,group C,master's degree,free/reduced,none
384,female,group E,some high school,free/reduced,none
385,female,group A,some high school,free/reduced,none
386,female,group E,some college,standard,none
387,female,group E,bachelor's degree,standard,none
388,female,group C,associate's degree,free/reduced,none
389,female,group D,high school,standard,none
390,male,group D,master's degree,standard,none
391,male,group E,some high school,free/reduced,
392,female,group D,some college,standard,
393,male,group E,some college,standard,
394,male,group C,associate's degree,standard,
395,female,group C,some high school,standard,
396,male,group A,high school,free/reduced,
397,female,group B,high school,free/reduced,
398,female,group C,associate's degree,standard,
399,male,group B,some high school,standard,
400,male,group D,some high school,standard,
401,female,group C,some high school,standard,completed
402,male,group A,some college,standard,none
403,female,group A,some college,free/reduced,none
404,female,group D,high school,standard,completed
405,female,group C,high school,standard,none
406,female,group C,some high school,standard,none
407,male,group B,associate's degree,standard,completed
408,female,group B,associate's degree,standard,none
409,female,group D,high school,free/reduced,completed
410,male,group D,associate's degree,standard,completed
411,female,group D,master's degree,standard,completed
412,male,group E,some college,standard,completed
413,male,group D,associate's degree,standard,none
414,male,group B,some high school,standard,completed
415,female,group C,bachelor's degree,free/reduced,completed
416,male,group E,high school,standard,none
417,male,group C,bachelor's degree,standard,completed
418,male,group C,associate's degree,standard,none
419,male,group D,some college,standard,none
420,male,group E,high school,free/reduced,completed
421,female,group C,associate's degree,free/reduced,completed
422,female,group D,high school,standard,completed
423,female,group D,master's degree,free/reduced,completed
424,female,group A,some high school,standard,completed
425,male,group B,some college,free/reduced,none
426,female,group C,some college,free/reduced,none
427,male,group C,bachelor's degree,standard,none
428,male,group C,some high school,free/reduced,none
429,male,group A,some high school,free/reduced,none
430,male,group C,some high school,free/reduced,none
431,male,group C,associate's degree,free/reduced,none
432,female,group C,high school,standard,none
433,male,group C,high school,standard,none
434,female,group A,some high school,free/reduced,none
435,male,group C,some high school,standard,none
436,male,group C,some college,free/reduced,completed
437,male,group D,associate's degree,standard,none
438,male,group D,associate's degree,free/reduced,none
439,male,group C,high school,standard,none
440,male,group D,some high school,standard,completed
441,female,group C,some college,standard,completed
442,female,group D,high school,standard,none
443,female,group A,some high school,free/reduced,none
444,female,group B,associate's degree,standard,none
445,male,group A,some high school,free/reduced,none
446,female,group C,some high school,standard,completed
447,male,group D,some college,free/reduced,none
448,male,group C,high school,standard,completed
449,male,group B,high school,standard,none
450,male,group B,associate's degree,standard,none
451,female,group C,some college,free/reduced,completed
452,female,group E,some college,standard,none
453,female,group C,associate's degree,free/reduced,none
454,male,group C,some college,free/reduced,none
455,female,group C,associate's degree,free/reduced,none
456,male,group C,bachelor's degree,free/reduced,none
457,female,group D,bachelor's degree,standard,none
458,male,group D,associate's degree,free/reduced,none
459,female,group E,bachelor's degree,standard,none
460,male,group B,high school,standard,completed
461,male,group C,bachelor's degree,free/reduced,
462,male,group B,some college,free/reduced,
463,female,group E,some college,standard,
464,female,group C,some college,free/reduced,
465,male,group A,bachelor's degree,standard,completed
466,female,group C,some college,standard,
467,female,group D,associate's degree,free/reduced,
468,male,group A,high school,free/reduced,
469,female,group A,high school,free/reduced,completed
470,male,group C,some college,standard,none
471,female,group C,associate's degree,standard,completed
472,female,group C,high school,standard,
473,female,group C,associate's degree,standard,completed
474,female,group D,some high school,standard,none
475,female,group B,associate's degree,standard,completed
476,female,group D,bachelor's degree,standard,completed
477,male,group E,bachelor's degree,standard,
478,male,group D,associate's degree,standard,none
479,female,group D,master's degree,standard,none
480,male,group E,associate's degree,standard,none
481,male,group B,high school,standard,completed
482,female,group D,associate's degree,free/reduced,none
483,male,group C,some college,free/reduced,none
484,male,group A,high school,standard,none
485,female,group B,associate's degree,standard,none
486,male,group C,high school,standard,none
487,male,group D,some college,free/reduced,none
488,female,group C,associate's degree,free/reduced,none
489,male,group B,some high school,standard,completed
490,male,group A,associate's degree,free/reduced,completed
491,female,group A,associate's degree,free/reduced,none
492,female,group C,associate's degree,standard,none
493,female,group C,some college,standard,none
494,female,group C,bachelor's degree,standard,none
495,female,group B,high school,standard,none
496,male,group D,high school,standard,completed
497,female,group C,some college,standard,none
498,female,group D,some college,free/reduced,completed
499,female,group B,some high school,standard,none
500,male,group E,some college,standard,
501,female,group D,master's degree,standard,none
502,female,group B,associate's degree,standard,completed
503,male,group C,some college,free/reduced,none
504,female,group E,associate's degree,standard,completed
505,female,group D,master's degree,free/reduced,none
506,female,group B,some high school,standard,none
507,male,group A,high school,standard,none
508,male,group B,bachelor's degree,free/reduced,none
509,male,group C,master's degree,standard,none
510,female,group C,bachelor's degree,standard,none
511,male,group D,some college,standard,none
512,male,group A,some high school,standard,none
513,male,group D,some high school,free/reduced,none
514,female,group B,some high school,standard,completed
515,female,group B,master's degree,free/reduced,completed
516,female,group C,some high school,standard,completed
517,female,group D,some college,standard,none
518,female,group E,some college,standard,completed
519,female,group D,some high school,standard,completed
520,female,group B,high school,free/reduced,completed
