model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize,catergory_mileage,catergory_year,catergory_tax
Tucson,2017.0,11695.0,Manual,49174.0,Petrol,145.0,44.8,1.6,40000>50000,2015>2020,100>150
I20,2015.0,7995.0,Manual,6413.0,Petrol,30.0,55.4,1.2,0<10000,2010>2015,<100
Tucson,2015.0,10700.0,Manual,34177.0,Diesel,30.0,61.7,1.7,30000>40000,2010>2015,<100
I10,2016.0,8100.0,Manual,7447.0,Petrol,30.0,57.6,1.2,0<10000,2015>2020,<100
IX35,2013.0,8200.0,Manual,34500.0,Diesel,145.0,53.3,1.7,30000>40000,2010>2015,100>150
I10,2016.0,6600.0,Manual,16751.0,Petrol,30.0,57.6,1.2,10000>20000,2015>2020,<100
Tucson,2018.0,13900.0,Manual,16265.0,Petrol,150.0,44.8,1.6,10000>20000,2015>2020,100>150
Tucson,2018.0,13700.0,Manual,19087.0,Petrol,145.0,44.8,1.6,10000>20000,2015>2020,100>150
I30,2017.0,8300.0,Manual,38206.0,Diesel,145.0,78.4,1.6,30000>40000,2015>2020,100>150
Tucson,2016.0,15800.0,Automatic,20025.0,Diesel,125.0,57.6,1.7,20000>30000,2015>2020,100>150
Ioniq,2018.0,15000.0,Automatic,32227.0,Hybrid,135.0,78.5,1.6,30000>40000,2015>2020,100>150
Tucson,2015.0,15200.0,Automatic,28904.0,Diesel,200.0,46.3,0.0,20000>30000,2010>2015,150>200
I10,2014.0,7700.0,Automatic,8646.0,Petrol,160.0,45.6,0.0,0<10000,2010>2015,150>200
I30,2017.0,10500.0,Automatic,17663.0,Diesel,20.0,72.4,0.0,10000>20000,2015>2020,<100
I20,2017.0,11400.0,Automatic,12661.0,Petrol,145.0,44.1,0.0,10000>20000,2015>2020,100>150
Kona,2018.0,12995.0,Manual,7359.0,Petrol,145.0,52.3,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,18000.0,Manual,4353.0,Petrol,145.0,35.3,1.6,0<10000,2015>2020,100>150
I10,2018.0,9000.0,Manual,7126.0,Petrol,145.0,60.1,0.0,0<10000,2015>2020,100>150
Veloster,2014.0,8300.0,Manual,36324.0,Petrol,160.0,43.5,1.6,30000>40000,2010>2015,150>200
I10,2018.0,8500.0,Manual,12948.0,Petrol,145.0,60.1,0.0,10000>20000,2015>2020,100>150
I30,2019.0,14500.0,Manual,2481.0,Petrol,145.0,41.5,0.0,0<10000,2015>2020,100>150
Tucson,2016.0,13800.0,Manual,27311.0,Diesel,30.0,61.7,0.0,20000>30000,2015>2020,<100
I30,2016.0,9000.0,Manual,34443.0,Diesel,0.0,78.4,0.0,30000>40000,2015>2020,<100
Tucson,2017.0,13800.0,Manual,16961.0,Diesel,30.0,61.7,0.0,10000>20000,2015>2020,<100
Tucson,2017.0,14100.0,Manual,5067.0,Petrol,145.0,44.8,1.6,0<10000,2015>2020,100>150
I10,2013.0,5000.0,Manual,45230.0,Petrol,20.0,61.4,0.0,40000>50000,2010>2015,<100
I10,2018.0,10300.0,Manual,6349.0,Petrol,145.0,57.6,0.0,0<10000,2015>2020,100>150
I40,2015.0,11500.0,Manual,13268.0,Diesel,30.0,65.7,0.0,10000>20000,2010>2015,<100
I30,2016.0,9000.0,Manual,29610.0,Diesel,0.0,78.4,0.0,20000>30000,2015>2020,<100
IX35,2015.0,11400.0,Manual,23041.0,Diesel,165.0,51.4,0.0,20000>30000,2010>2015,150>200
I20,2017.0,10000.0,Manual,21821.0,Petrol,145.0,61.4,0.0,20000>30000,2015>2020,100>150
I10,2018.0,7800.0,Manual,17397.0,Petrol,150.0,60.1,0.0,10000>20000,2015>2020,100>150
I10,2016.0,6300.0,Manual,31854.0,Petrol,20.0,60.1,0.0,30000>40000,2015>2020,<100
Tucson,2016.0,11300.0,Manual,37993.0,Diesel,30.0,61.7,0.0,30000>40000,2015>2020,<100
I800,2018.0,15500.0,Manual,30305.0,Diesel,145.0,31.7,0.0,30000>40000,2015>2020,100>150
I20,2018.0,11700.0,Manual,3920.0,Petrol,150.0,46.3,0.0,0<10000,2015>2020,100>150
Tucson,2017.0,16800.0,Manual,21875.0,Petrol,145.0,38.7,1.6,20000>30000,2015>2020,100>150
I10,2016.0,6500.0,Manual,27465.0,Petrol,20.0,60.1,1.0,20000>30000,2015>2020,<100
I10,2019.0,8600.0,Manual,4920.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
I30,2016.0,9400.0,Manual,18577.0,Petrol,145.0,48.7,1.4,10000>20000,2015>2020,100>150
Tucson,2017.0,15000.0,Manual,23310.0,Diesel,30.0,61.7,0.0,20000>30000,2015>2020,<100
Tucson,2019.0,15000.0,Manual,22397.0,Petrol,150.0,34.9,0.0,20000>30000,2015>2020,100>150
Tucson,2019.0,16300.0,Manual,10066.0,Petrol,150.0,34.9,0.0,10000>20000,2015>2020,100>150
I10,2018.0,8300.0,Manual,13148.0,Petrol,150.0,60.1,0.0,10000>20000,2015>2020,100>150
I800,2019.0,18500.0,Manual,7691.0,Diesel,150.0,31.7,0.0,0<10000,2015>2020,100>150
Tucson,2016.0,12300.0,Manual,21898.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
I10,2016.0,6500.0,Manual,24740.0,Petrol,20.0,60.1,1.0,20000>30000,2015>2020,<100
I10,2014.0,5500.0,Manual,20127.0,Petrol,20.0,60.1,1.0,20000>30000,2010>2015,<100
I800,2018.0,15299.0,Automatic,34103.0,Diesel,145.0,33.6,2.5,30000>40000,2015>2020,100>150
IX20,2016.0,9000.0,Manual,21152.0,Diesel,30.0,64.2,1.6,20000>30000,2015>2020,<100
I10,2017.0,7600.0,Manual,15618.0,Petrol,145.0,60.1,1.0,10000>20000,2015>2020,100>150
I10,2017.0,7300.0,Manual,15594.0,Petrol,20.0,60.1,0.0,10000>20000,2015>2020,<100
I20,2015.0,7500.0,Manual,28123.0,Petrol,30.0,56.5,0.0,20000>30000,2010>2015,<100
Ioniq,2019.0,19800.0,Automatic,1963.0,Petrol,135.0,78.5,1.6,0<10000,2015>2020,100>150
I10,2015.0,7500.0,Manual,13637.0,Petrol,30.0,57.6,0.0,10000>20000,2010>2015,<100
Tucson,2017.0,15700.0,Automatic,7457.0,Diesel,125.0,57.6,0.0,0<10000,2015>2020,100>150
I20,2017.0,8500.0,Manual,16708.0,Petrol,145.0,58.9,0.0,10000>20000,2015>2020,100>150
Tucson,2017.0,12000.0,Manual,2236.0,Petrol,160.0,44.8,1.6,0<10000,2015>2020,150>200
I30,2018.0,9299.0,Manual,21859.0,Petrol,145.0,56.5,1.0,20000>30000,2015>2020,100>150
Tucson,2016.0,11599.0,Manual,31480.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
I10,2017.0,7000.0,Manual,31696.0,Petrol,145.0,57.7,1.2,30000>40000,2015>2020,100>150
I10,2017.0,8000.0,Manual,16636.0,Petrol,145.0,60.1,0.0,10000>20000,2015>2020,100>150
I20,2017.0,8600.0,Manual,19398.0,Petrol,30.0,58.9,0.0,10000>20000,2015>2020,<100
I30,2016.0,8900.0,Manual,18257.0,Diesel,0.0,78.4,1.6,10000>20000,2015>2020,<100
IX35,2014.0,9800.0,Manual,35541.0,Diesel,145.0,53.3,1.7,30000>40000,2010>2015,100>150
I10,2015.0,6800.0,Manual,22211.0,Petrol,20.0,60.1,1.0,20000>30000,2010>2015,<100
I30,2018.0,11531.0,Automatic,35097.0,Petrol,145.0,51.4,1.4,30000>40000,2015>2020,100>150
I40,2016.0,11400.0,Automatic,27712.0,Diesel,125.0,56.5,1.7,20000>30000,2015>2020,100>150
IX20,2016.0,7194.0,Manual,27696.0,Petrol,125.0,50.4,1.4,20000>30000,2015>2020,100>150
I10,2015.0,6500.0,Manual,12731.0,Petrol,30.0,57.6,1.2,10000>20000,2010>2015,<100
Tucson,2018.0,12556.0,Manual,20443.0,Petrol,145.0,44.8,1.6,20000>30000,2015>2020,100>150
I10,2014.0,5644.0,Manual,40248.0,Petrol,20.0,60.1,1.0,40000>50000,2010>2015,<100
I10,2017.0,7799.0,Manual,21321.0,Petrol,145.0,57.7,1.2,20000>30000,2015>2020,100>150
IX35,2011.0,6936.0,Manual,72436.0,Diesel,200.0,47.9,2.0,>60000,2010>2015,150>200
I10,2018.0,9499.0,Automatic,8418.0,Petrol,145.0,47.9,1.2,0<10000,2015>2020,100>150
IX35,2012.0,5000.0,Manual,119050.0,Diesel,150.0,48.7,1.7,>60000,2010>2015,100>150
I30,2018.0,9000.0,Manual,15804.0,Petrol,145.0,57.7,1.0,10000>20000,2015>2020,100>150
I800,2017.0,13499.0,Automatic,44749.0,Diesel,145.0,33.6,2.5,40000>50000,2015>2020,100>150
I10,2016.0,6000.0,Manual,23176.0,Petrol,30.0,57.6,1.2,20000>30000,2015>2020,<100
I10,2018.0,8495.0,Automatic,28889.0,Petrol,145.0,47.9,1.2,20000>30000,2015>2020,100>150
I20,2019.0,11995.0,Manual,3300.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
I10,2018.0,6350.0,Manual,31738.0,Petrol,145.0,60.1,1.0,30000>40000,2015>2020,100>150
I20,2019.0,11795.0,Manual,5409.0,Petrol,150.0,46.3,1.2,0<10000,2015>2020,100>150
Tucson,2016.0,13300.0,Manual,25071.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
Tucson,2018.0,13950.0,Manual,17427.0,Petrol,150.0,44.8,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,15600.0,Manual,8000.0,Petrol,150.0,34.9,1.6,0<10000,2015>2020,100>150
Tucson,2016.0,12795.0,Manual,26804.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
I10,2014.0,6600.0,Manual,31090.0,Petrol,30.0,57.6,0.0,30000>40000,2010>2015,<100
Veloster,2012.0,6300.0,Manual,60200.0,Petrol,165.0,43.5,1.6,>60000,2010>2015,150>200
SantaFe,2014.0,15500.0,Automatic,37006.0,Diesel,265.0,41.5,2.2,30000>40000,2010>2015,>200
Tucson,2019.0,15400.0,Manual,12254.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
I30,2016.0,8900.0,Manual,17350.0,Petrol,145.0,48.7,1.4,10000>20000,2015>2020,100>150
Tucson,2017.0,14100.0,Semi-Auto,27299.0,Diesel,145.0,57.6,1.7,20000>30000,2015>2020,100>150
Tucson,2017.0,13100.0,Manual,21119.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
Tucson,2017.0,12600.0,Manual,36750.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
Tucson,2016.0,12950.0,Manual,37350.0,Diesel,125.0,58.9,2.0,30000>40000,2015>2020,100>150
Tucson,2018.0,13300.0,Manual,29413.0,Petrol,150.0,44.8,1.6,20000>30000,2015>2020,100>150
Tucson,2017.0,12700.0,Manual,33808.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
IX35,2015.0,9700.0,Manual,26564.0,Petrol,200.0,41.5,0.0,20000>30000,2010>2015,150>200
IX35,2014.0,8700.0,Manual,54304.0,Diesel,145.0,53.3,0.0,50000>60000,2010>2015,100>150
I20,2016.0,7500.0,Manual,41496.0,Petrol,30.0,56.5,0.0,40000>50000,2015>2020,<100
IX20,2014.0,6500.0,Manual,38601.0,Petrol,125.0,50.4,0.0,30000>40000,2010>2015,100>150
I10,2017.0,7000.0,Manual,31232.0,Petrol,145.0,57.7,0.0,30000>40000,2015>2020,100>150
I20,2019.0,12000.0,Manual,7061.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
I30,2015.0,8250.0,Manual,29980.0,Diesel,0.0,78.4,1.6,20000>30000,2010>2015,<100
I20,2017.0,7999.0,Manual,44120.0,Petrol,150.0,62.8,1.0,40000>50000,2015>2020,100>150
IX35,2011.0,7799.0,Automatic,48528.0,Diesel,300.0,39.2,2.0,40000>50000,2010>2015,>200
Tucson,2016.0,14999.0,Automatic,20645.0,Diesel,205.0,47.1,2.0,20000>30000,2015>2020,>200
SantaFe,2017.0,18999.0,Automatic,20599.0,Diesel,150.0,42.8,2.2,20000>30000,2015>2020,100>150
I10,2012.0,3799.0,Manual,56582.0,Petrol,20.0,61.4,1.2,50000>60000,2010>2015,<100
I30,2015.0,7803.0,Manual,43022.0,Diesel,0.0,78.4,1.6,40000>50000,2010>2015,<100
Tucson,2016.0,12995.0,Manual,37688.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
Tucson,2016.0,16498.0,Automatic,12163.0,Diesel,200.0,46.3,2.0,10000>20000,2015>2020,150>200
I30,2015.0,8998.0,Manual,16412.0,Petrol,145.0,48.7,1.4,10000>20000,2010>2015,100>150
Kona,2019.0,14298.0,Manual,6874.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
IX35,2013.0,7298.0,Manual,50998.0,Diesel,145.0,48.7,1.7,50000>60000,2010>2015,100>150
I10,2016.0,5998.0,Manual,41883.0,Petrol,30.0,57.6,1.2,40000>50000,2015>2020,<100
I30,2018.0,11998.0,Manual,5404.0,Diesel,145.0,74.3,1.6,0<10000,2015>2020,100>150
I800,2018.0,15998.0,Manual,36815.0,Diesel,145.0,28.0,2.5,30000>40000,2015>2020,100>150
I10,2014.0,5498.0,Manual,13840.0,Petrol,20.0,60.1,1.0,10000>20000,2010>2015,<100
I30,2016.0,7498.0,Manual,56693.0,Diesel,0.0,78.4,1.6,50000>60000,2015>2020,<100
IX20,2015.0,6498.0,Manual,57819.0,Petrol,125.0,50.4,1.4,50000>60000,2010>2015,100>150
Kona,2019.0,15498.0,Manual,5630.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
I20,2017.0,8498.0,Manual,19685.0,Petrol,145.0,58.9,1.2,10000>20000,2015>2020,100>150
Tucson,2017.0,13698.0,Manual,17539.0,Diesel,30.0,61.7,1.7,10000>20000,2015>2020,<100
I10,2017.0,6998.0,Manual,39968.0,Petrol,145.0,57.7,1.2,30000>40000,2015>2020,100>150
Tucson,2017.0,13998.0,Manual,21679.0,Diesel,30.0,61.7,1.7,20000>30000,2015>2020,<100
Tucson,2017.0,14498.0,Manual,9146.0,Diesel,150.0,61.7,1.7,0<10000,2015>2020,100>150
I800,2019.0,19998.0,Automatic,1477.0,Diesel,145.0,31.7,2.5,0<10000,2015>2020,100>150
Kona,2018.0,12498.0,Manual,12834.0,Petrol,145.0,52.3,1.0,10000>20000,2015>2020,100>150
I40,2017.0,8998.0,Manual,59626.0,Diesel,150.0,67.3,1.7,50000>60000,2015>2020,100>150
IX20,2016.0,8298.0,Manual,28355.0,Petrol,125.0,50.4,1.4,20000>30000,2015>2020,100>150
Kona,2018.0,15995.0,Manual,23400.0,Petrol,145.0,52.3,1.0,20000>30000,2015>2020,100>150
IX35,2015.0,9495.0,Manual,46000.0,Diesel,145.0,53.3,1.7,40000>50000,2010>2015,100>150
I30,2018.0,8998.0,Manual,24070.0,Petrol,145.0,57.7,1.0,20000>30000,2015>2020,100>150
I30,2019.0,14998.0,Manual,3010.0,Petrol,145.0,41.5,1.4,0<10000,2015>2020,100>150
I30,2019.0,14998.0,Manual,3303.0,Petrol,145.0,41.5,1.4,0<10000,2015>2020,100>150
Kona,2019.0,21998.0,Automatic,1391.0,Hybrid,135.0,52.3,1.6,0<10000,2015>2020,100>150
I20,2017.0,8998.0,Manual,16900.0,Petrol,145.0,55.4,1.2,10000>20000,2015>2020,100>150
I40,2016.0,10998.0,Manual,29347.0,Diesel,30.0,65.7,1.7,20000>30000,2015>2020,<100
I20,2016.0,9498.0,Manual,17206.0,Petrol,30.0,58.9,1.0,10000>20000,2015>2020,<100
I10,2015.0,5998.0,Manual,8116.0,Petrol,20.0,60.1,1.0,0<10000,2010>2015,<100
IX20,2015.0,7998.0,Manual,20077.0,Petrol,125.0,50.4,1.4,20000>30000,2010>2015,100>150
I20,2017.0,7998.0,Manual,28502.0,Petrol,145.0,55.4,1.2,20000>30000,2015>2020,100>150
I20,2015.0,7398.0,Manual,23656.0,Petrol,30.0,55.4,1.2,20000>30000,2010>2015,<100
I20,2015.0,6698.0,Manual,43795.0,Petrol,125.0,51.4,1.4,40000>50000,2010>2015,100>150
I20,2017.0,8598.0,Manual,9392.0,Petrol,30.0,58.9,1.2,0<10000,2015>2020,<100
I30,2019.0,23498.0,Manual,1437.0,Petrol,145.0,34.0,2.0,0<10000,2015>2020,100>150
Kona,2019.0,14998.0,Manual,2383.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
SantaFe,2019.0,34998.0,Semi-Auto,4133.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
SantaFe,2019.0,34998.0,Semi-Auto,4956.0,Diesel,145.0,39.2,2.2,0<10000,2015>2020,100>150
Tucson,2019.0,15998.0,Manual,3454.0,Petrol,145.0,35.3,1.6,0<10000,2015>2020,100>150
I30,2019.0,14998.0,Manual,3001.0,Petrol,145.0,41.5,1.4,0<10000,2015>2020,100>150
Tucson,2019.0,15498.0,Manual,14877.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
Tucson,2019.0,18998.0,Semi-Auto,3649.0,Petrol,150.0,36.2,1.6,0<10000,2015>2020,100>150
Tucson,2017.0,14498.0,Manual,12811.0,Diesel,150.0,61.7,1.7,10000>20000,2015>2020,100>150
Tucson,2017.0,15298.0,Semi-Auto,19066.0,Diesel,150.0,57.6,1.7,10000>20000,2015>2020,100>150
Tucson,2017.0,15998.0,Semi-Auto,11231.0,Diesel,150.0,57.6,1.7,10000>20000,2015>2020,100>150
I10,2017.0,6498.0,Manual,23692.0,Petrol,20.0,60.1,1.0,20000>30000,2015>2020,<100
SantaFe,2017.0,15998.0,Manual,48034.0,Diesel,205.0,47.1,2.2,40000>50000,2015>2020,>200
Tucson,2016.0,12498.0,Manual,41953.0,Diesel,30.0,61.7,1.7,40000>50000,2015>2020,<100
IX20,2014.0,5998.0,Manual,42386.0,Diesel,30.0,64.2,1.6,40000>50000,2010>2015,<100
Tucson,2018.0,16500.0,Manual,12875.0,Petrol,145.0,38.7,1.6,10000>20000,2015>2020,100>150
SantaFe,2015.0,16998.0,Semi-Auto,38514.0,Diesel,265.0,42.2,2.2,30000>40000,2010>2015,>200
Tucson,2016.0,10998.0,Manual,20258.0,Petrol,160.0,44.8,1.6,20000>30000,2015>2020,150>200
Tucson,2017.0,15998.0,Semi-Auto,12150.0,Diesel,145.0,57.6,1.7,10000>20000,2015>2020,100>150
Tucson,2016.0,18698.0,Automatic,14884.0,Diesel,235.0,43.5,2.0,10000>20000,2015>2020,>200
Tucson,2017.0,11498.0,Manual,35213.0,Diesel,145.0,61.7,1.7,30000>40000,2015>2020,100>150
Tucson,2018.0,14998.0,Manual,7482.0,Petrol,145.0,44.8,1.6,0<10000,2015>2020,100>150
Tucson,2019.0,15498.0,Manual,12077.0,Petrol,145.0,34.9,1.6,10000>20000,2015>2020,100>150
Tucson,2017.0,13498.0,Manual,5863.0,Petrol,160.0,44.8,1.6,0<10000,2015>2020,150>200
I20,2018.0,9985.0,Automatic,20796.0,Petrol,145.0,45.6,1.4,20000>30000,2015>2020,100>150
I10,2017.0,7498.0,Manual,8788.0,Petrol,145.0,60.1,1.0,0<10000,2015>2020,100>150
Tucson,2019.0,15998.0,Manual,17841.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
I30,2015.0,8798.0,Manual,21701.0,Petrol,150.0,48.7,1.4,20000>30000,2010>2015,100>150
Tucson,2019.0,15498.0,Manual,15751.0,Petrol,150.0,34.9,1.6,10000>20000,2015>2020,100>150
I20,2016.0,8298.0,Manual,17499.0,Petrol,30.0,55.4,1.2,10000>20000,2015>2020,<100
Kona,2019.0,14998.0,Manual,6717.0,Petrol,150.0,44.1,1.0,0<10000,2015>2020,100>150
Ioniq,2019.0,20998.0,Automatic,5530.0,Hybrid,140.0,62.8,1.6,0<10000,2015>2020,100>150
Kona,2019.0,20998.0,Automatic,4672.0,Hybrid,140.0,52.3,1.6,0<10000,2015>2020,100>150
I30,2017.0,10485.0,Manual,17609.0,Diesel,145.0,72.4,1.6,10000>20000,2015>2020,100>150
SantaFe,2018.0,21985.0,Manual,13436.0,Diesel,145.0,47.1,2.2,10000>20000,2015>2020,100>150
I10,2020.0,14485.0,Manual,100.0,Petrol,145.0,51.4,1.2,0<10000,2015>2020,100>150
I20,2020.0,14485.0,Manual,100.0,Petrol,145.0,46.3,1.2,0<10000,2015>2020,100>150
Tucson,2016.0,11485.0,Manual,53963.0,Diesel,30.0,61.7,1.7,50000>60000,2015>2020,<100
I20,2016.0,7489.0,Manual,51552.0,Petrol,30.0,56.5,1.2,50000>60000,2015>2020,<100
SantaFe,2017.0,19429.0,Semi-Auto,38452.0,Diesel,150.0,42.8,2.2,30000>40000,2015>2020,100>150
I10,2017.0,6995.0,Manual,20200.0,Petrol,145.0,60.1,1.0,20000>30000,2015>2020,100>150
I10,2019.0,9985.0,Manual,5223.0,Petrol,150.0,57.6,1.2,0<10000,2015>2020,100>150
Ioniq,2019.0,22998.0,Automatic,2844.0,Hybrid,140.0,1.1,1.6,0<10000,2015>2020,100>150
Tucson,2016.0,13298.0,Manual,35251.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
I800,2019.0,19998.0,Manual,7761.0,Diesel,145.0,31.7,2.5,0<10000,2015>2020,100>150
I40,2015.0,9298.0,Manual,34572.0,Diesel,30.0,65.7,1.7,30000>40000,2010>2015,<100
Tucson,2017.0,14985.0,Manual,42858.0,Diesel,205.0,47.9,2.0,40000>50000,2015>2020,>200
Tucson,2018.0,13985.0,Manual,15563.0,Diesel,150.0,61.7,1.7,10000>20000,2015>2020,100>150
I40,2017.0,11485.0,Manual,17393.0,Diesel,145.0,65.7,1.7,10000>20000,2015>2020,100>150
I30,2017.0,10785.0,Manual,19273.0,Diesel,145.0,74.3,1.6,10000>20000,2015>2020,100>150
I30,2017.0,10485.0,Manual,15359.0,Diesel,145.0,72.4,1.6,10000>20000,2015>2020,100>150
I20,2019.0,9485.0,Manual,10758.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
I20,2019.0,10485.0,Manual,13484.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
I30,2017.0,8985.0,Manual,18266.0,Diesel,145.0,72.4,1.6,10000>20000,2015>2020,100>150
Tucson,2016.0,14798.0,Semi-Auto,23865.0,Diesel,125.0,57.6,1.7,20000>30000,2015>2020,100>150
Tucson,2017.0,13698.0,Manual,31739.0,Diesel,145.0,61.7,1.7,30000>40000,2015>2020,100>150
Tucson,2017.0,14498.0,Semi-Auto,17754.0,Diesel,125.0,57.6,1.7,10000>20000,2015>2020,100>150
I10,2014.0,5498.0,Manual,23928.0,Petrol,20.0,60.1,1.0,20000>30000,2010>2015,<100
Tucson,2016.0,11498.0,Manual,40297.0,Diesel,30.0,61.7,1.7,40000>50000,2015>2020,<100
IX35,2015.0,8250.0,Manual,59238.0,Diesel,145.0,54.3,1.7,50000>60000,2010>2015,100>150
I10,2017.0,7495.0,Manual,25203.0,Petrol,30.0,57.7,1.2,20000>30000,2015>2020,<100
I800,2017.0,15985.0,Automatic,35154.0,Diesel,325.0,33.6,2.5,30000>40000,2015>2020,>200
IX35,2015.0,7885.0,Manual,59817.0,Diesel,145.0,54.3,1.7,50000>60000,2010>2015,100>150
IX35,2015.0,7995.0,Manual,54783.0,Diesel,150.0,53.3,1.7,50000>60000,2010>2015,100>150
I20,2019.0,10485.0,Manual,11166.0,Petrol,145.0,46.3,1.2,10000>20000,2015>2020,100>150
Tucson,2016.0,10998.0,Manual,40191.0,Diesel,30.0,61.7,1.7,40000>50000,2015>2020,<100
I20,2017.0,8498.0,Manual,12588.0,Petrol,145.0,55.4,1.2,10000>20000,2015>2020,100>150
SantaFe,2015.0,13998.0,Manual,54963.0,Diesel,200.0,46.3,2.2,50000>60000,2010>2015,150>200
Tucson,2016.0,11998.0,Manual,35224.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
I20,2017.0,8995.0,Manual,19229.0,Petrol,145.0,62.8,1.0,10000>20000,2015>2020,100>150
SantaFe,2013.0,12245.0,Semi-Auto,72854.0,Diesel,260.0,41.5,2.2,>60000,2010>2015,>200
SantaFe,2016.0,18295.0,Semi-Auto,22404.0,Diesel,235.0,42.2,2.2,20000>30000,2015>2020,>200
Kona,2018.0,12998.0,Manual,7910.0,Petrol,145.0,52.3,1.0,0<10000,2015>2020,100>150
IX35,2014.0,7298.0,Manual,71289.0,Diesel,145.0,53.3,1.7,>60000,2010>2015,100>150
I20,2013.0,3998.0,Manual,45461.0,Petrol,30.0,57.6,1.2,40000>50000,2010>2015,<100
Tucson,2016.0,11998.0,Manual,40457.0,Diesel,30.0,61.7,1.7,40000>50000,2015>2020,<100
Tucson,2019.0,15498.0,Manual,23773.0,Petrol,145.0,34.9,1.6,20000>30000,2015>2020,100>150
Kona,2019.0,14298.0,Manual,5034.0,Petrol,145.0,44.1,1.0,0<10000,2015>2020,100>150
Tucson,2016.0,15798.0,Manual,35030.0,Diesel,145.0,54.3,2.0,30000>40000,2015>2020,100>150
Tucson,2017.0,14498.0,Manual,19400.0,Diesel,30.0,61.7,1.7,10000>20000,2015>2020,<100
I20,2016.0,8998.0,Automatic,28560.0,Petrol,160.0,42.2,1.4,20000>30000,2015>2020,150>200
Tucson,2016.0,12298.0,Manual,35153.0,Diesel,30.0,61.7,1.7,30000>40000,2015>2020,<100
